figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
signflip_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,sign_flip,0.2,20.0,mta,0.834,83.39999999999999,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,sign_flip,0.3,30.0,mta,0.7279,72.78999999999999,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,sign_flip,0.0,0.0,mta,0.9257,92.57,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,sign_flip,0.1,10.0,mta,0.8936,89.36,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,sign_flip,0.2,20.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,sign_flip,0.3,30.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,sign_flip,0.0,0.0,mta,0.923,92.30000000000001,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,sign_flip,0.1,10.0,mta,0.9133,91.33,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,sign_flip,0.2,20.0,mta,0.8973,89.73,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,sign_flip,0.3,30.0,mta,0.85,85.0,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,sign_flip,0.0,0.0,mta,0.922,92.2,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,sign_flip,0.1,10.0,mta,0.9201,92.01,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,sign_flip,0.2,20.0,mta,0.916,91.60000000000001,1,1,
signflip_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,sign_flip,0.3,30.0,mta,0.9134,91.34,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,sign_flip,0.0,0.0,mta,0.902,90.2,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,sign_flip,0.1,10.0,mta,0.434,43.4,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,sign_flip,0.2,20.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,sign_flip,0.3,30.0,mta,0.1,10.0,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,sign_flip,0.0,0.0,mta,0.5408,54.08,1,1,
signflip_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,sign_flip,0.1,10.0,mta,0.5488,54.879999999999995,1,1,
