figure,dataset,distribution,panel,defense,method_label,attack,malicious_ratio,malicious_ratio_percent,metric,value,value_percent,seeds_present,seeds_expected,missing_seeds
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,asr,0.0041,0.41,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,mta,0.9848,98.48,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,asr,0.0798,7.98,1,1,
backdoor_sweep,mnist,Non-IID,MNIST Non-IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,mta,0.9782,97.82,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.1,10.0,asr,0.9787777777777777,97.87777777777778,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.1,10.0,mta,0.9245,92.45,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.2,20.0,asr,0.9805555555555555,98.05555555555556,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.2,20.0,mta,0.9232,92.32000000000001,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.3,30.0,asr,0.9838,98.38,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,fedavg,FedAvg,backdoor,0.3,30.0,mta,0.9236,92.36,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.1,10.0,asr,0.009777777777777778,0.9777777777777777,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.1,10.0,mta,0.8734,87.33999999999999,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.2,20.0,asr,0.019777777777777776,1.9777777777777776,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.2,20.0,mta,0.8713,87.13,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.3,30.0,asr,0.0287,2.87,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,krum,Krum,backdoor,0.3,30.0,mta,0.8683,86.83,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,asr,0.9796666666666667,97.96666666666667,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,mta,0.9226,92.25999999999999,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,asr,0.9817777777777777,98.17777777777778,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,mta,0.9207,92.07,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,asr,0.9847,98.47,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,mta,0.922,92.20,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.1,10.0,asr,0.1890,18.90,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.1,10.0,mta,0.9203,92.03,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.2,20.0,asr,0.2911,29.11,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.2,20.0,mta,0.9193,91.93,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.3,30.0,asr,0.3842,38.42,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,shieldfl,ShieldFL,backdoor,0.3,30.0,mta,0.9195,91.95,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.1,10.0,asr,0.1731,17.31,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.1,10.0,mta,0.919,91.9,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.2,20.0,asr,0.1749,17.49,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.2,20.0,mta,0.9201,92.01,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.3,30.0,asr,0.1757,17.57,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pdfl,PDFL,backdoor,0.3,30.0,mta,0.9202,92.02,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,asr,0.0093,0.93,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.1,10.0,mta,0.916,91.60000000000001,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,asr,0.0516,5.16,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.2,20.0,mta,0.92,92.0,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,asr,0.0938,9.38,1,1,
backdoor_sweep,cifar,IID,CIFAR-10 IID,pritrust_fl,PriTrust-FL,backdoor,0.3,30.0,mta,0.9185,91.85,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.1,10.0,asr,0.9767777777777777,97.67777777777778,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.1,10.0,mta,0.8996,89.96,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.2,20.0,asr,0.9808888888888889,98.08888888888889,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.2,20.0,mta,0.9059,90.59,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.3,30.0,asr,0.988,98.80,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,fedavg,FedAvg,backdoor,0.3,30.0,mta,0.9011,90.11,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.1,10.0,asr,0.076,7.6,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.1,10.0,mta,0.4633,46.33,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.2,20.0,asr,0.8831111111111111,88.3111111111111,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.2,20.0,mta,0.5004,50.03999999999999,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.3,30.0,asr,0.9284,92.84,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,krum,Krum,backdoor,0.3,30.0,mta,0.4964,49.64,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,asr,0.9722222222222222,97.22222222222221,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.1,10.0,mta,0.8932,89.32,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,asr,0.9792222222222222,97.92222222222222,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.2,20.0,mta,0.8909,89.09,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,asr,0.983,98.30,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,trimmed_mean,Trimmed Mean,backdoor,0.3,30.0,mta,0.887,88.70,1,1,
backdoor_sweep,cifar,Non-IID,CIFAR-10 Non-IID,shieldfl,ShieldFL,backdoor,0.1,10.0,asr,0.5068,50.68,1,1,
